Source Destination Heuristic
0 512 0.4486
0 256 0.4566
0 128 0.5904
0 64 0.6423
0 32 0.7850
0 16 0.6152
0 8 0.7211
0 4 0.5881
0 2 0.6885
0 1 0.7467
1 513 0.6835
1 257 0.6178
1 129 0.4779
1 65 0.3144
1 33 0.4012
1 17 0.7829
1 9 0.7653
1 5 0.5875
1 3 0.3630
2 514 0.5342
2 258 0.4677
2 130 0.3498
2 66 0.6875
2 34 0.3324
2 18 0.7104
2 10 0.2551
2 6 0.6846
2 3 0.3049
3 515 0.5371
3 259 0.4808
3 131 0.0865
3 67 0.3441
3 35 0.5344
3 19 0.0966
3 11 0.4036
3 7 0.3055
4 516 0.5154
4 260 0.4824
4 132 0.4279
4 68 0.2804
4 36 0.3299
4 20 0.2029
4 12 0.3776
4 6 0.5842
4 5 0.4289
5 517 0.7370
5 261 0.4334
5 133 0.2868
5 69 0.7373
5 37 0.3804
5 21 0.6394
5 13 0.7489
5 7 0.5300
6 518 0.9230
6 262 0.6877
6 134 0.6110
6 70 0.5882
6 38 0.7016
6 22 0.5637
6 14 0.7402
6 7 0.6853
7 519 0.6572
7 263 0.2493
7 135 0.4706
7 71 0.6713
7 39 0.3644
7 23 0.5031
7 15 0.2802
8 520 0.7193
8 264 0.4431
8 136 0.4485
8 72 0.7400
8 40 0.4799
8 24 0.4546
8 12 0.5106
8 10 0.2878
8 9 0.7398
9 521 0.7333
9 265 0.5877
9 137 0.5764
9 73 0.5692
9 41 0.7497
9 25 0.5786
9 13 0.9267
9 11 0.8059
10 522 0.0760
10 266 0.4958
10 138 0.3538
10 74 0.0145
10 42 0.3159
10 26 0.1062
10 14 0.3108
10 11 0.3539
11 523 0.5068
11 267 0.3682
11 139 0.7740
11 75 0.3465
11 43 0.5740
11 27 0.3771
11 15 0.3783
12 524 0.5997
12 268 0.5153
12 140 0.3201
12 76 0.6253
12 44 0.5432
12 28 0.4163
12 14 0.5335
12 13 0.6975
13 525 0.4703
13 269 0.7218
13 141 0.4884
13 77 0.5453
13 45 0.8883
13 29 0.5869
13 15 0.4991
14 526 0.7934
14 270 0.5067
14 142 0.5571
14 78 0.7396
14 46 0.3067
14 30 0.3742
14 15 0.3352
15 527 0.1824
15 271 0.2914
15 143 0.4083
15 79 0.1531
15 47 0.4836
15 31 0.3788
16 528 0.1751
16 272 0.4571
16 144 0.5045
16 80 0.2910
16 48 0.4075
16 24 0.3488
16 20 0.2300
16 18 0.6371
16 17 0.6514
17 529 0.8979
17 273 0.5048
17 145 0.8562
17 81 0.8538
17 49 0.8686
17 25 0.5961
17 21 0.8348
17 19 0.5165
18 530 0.6440
18 274 0.5811
18 146 0.5612
18 82 0.7280
18 50 0.8231
18 26 0.5614
18 22 0.5896
18 19 0.5022
19 531 0.0659
19 275 0.5341
19 147 0.2553
19 83 0.0386
19 51 0.4248
19 27 0.0702
19 23 0.2943
20 532 0.4435
20 276 0.2200
20 148 0.3796
20 84 0.5230
20 52 0.4681
20 28 0.2416
20 22 0.1825
20 21 0.4133
21 533 0.3766
21 277 0.4152
21 149 0.7381
21 85 0.5755
21 53 0.6205
21 29 0.4775
21 23 0.6125
22 534 0.2132
22 278 0.2190
22 150 0.3470
22 86 0.3055
22 54 0.1535
22 30 0.1977
22 23 0.3816
23 535 0.2711
23 279 0.2940
23 151 0.6932
23 87 0.3813
23 55 0.5325
23 31 0.6017
24 536 0.4478
24 280 0.5161
24 152 0.1795
24 88 0.6270
24 56 0.5961
24 28 0.3604
24 26 0.2731
24 25 0.2934
25 537 0.2455
25 281 0.2329
25 153 0.2762
25 89 0.5625
25 57 0.5026
25 29 0.2388
25 27 0.1497
26 538 0.5800
26 282 0.2236
26 154 0.3688
26 90 0.5651
26 58 0.4750
26 30 0.1696
26 27 0.1294
27 539 0.3123
27 283 0.0956
27 155 0.4601
27 91 0.1973
27 59 0.1192
27 31 0.3775
28 540 0.4451
28 284 0.4323
28 156 0.3901
28 92 0.5074
28 60 0.6668
28 30 0.2569
28 29 0.3057
29 541 0.2280
29 285 0.5384
29 157 0.1796
29 93 0.2301
29 61 0.4045
29 31 0.4666
30 542 0.3091
30 286 0.1029
30 158 0.2156
30 94 0.4564
30 62 0.2248
30 31 0.4178
31 543 0.7053
31 287 0.6379
31 159 0.4958
31 95 0.5201
31 63 0.7748
32 544 0.4137
32 288 0.5221
32 160 0.5592
32 96 0.6360
32 48 0.5773
32 40 0.5438
32 36 0.5267
32 34 0.4288
32 33 0.4395
33 545 0.2017
33 289 0.3639
33 161 0.2672
33 97 0.3806
33 49 0.4869
33 41 0.3855
33 37 0.1941
33 35 0.5726
34 546 0.3022
34 290 0.2011
34 162 0.4948
34 98 0.2545
34 50 0.4451
34 42 0.3931
34 38 0.3493
34 35 0.5619
35 547 0.6685
35 291 0.5965
35 163 0.6182
35 99 0.5258
35 51 0.8626
35 43 0.7048
35 39 0.5933
36 548 0.5579
36 292 0.3240
36 164 0.6025
36 100 0.2934
36 52 0.5951
36 44 0.4955
36 38 0.4473
36 37 0.2813
37 549 0.4861
37 293 0.1809
37 165 0.5220
37 101 0.4642
37 53 0.3615
37 45 0.5198
37 39 0.2147
38 550 0.7192
38 294 0.4057
38 166 0.7333
38 102 0.7067
38 54 0.2913
38 46 0.2681
38 39 0.3807
39 551 0.4924
39 295 0.2550
39 167 0.2993
39 103 0.5002
39 55 0.3937
39 47 0.5677
40 552 0.2816
40 296 0.3979
40 168 0.3630
40 104 0.2182
40 56 0.6214
40 44 0.5126
40 42 0.5081
40 41 0.4899
41 553 0.7659
41 297 0.3229
41 169 0.7592
41 105 0.6110
41 57 0.6737
41 45 0.7113
41 43 0.5178
42 554 0.3347
42 298 0.3688
42 170 0.7732
42 106 0.7345
42 58 0.6847
42 46 0.3118
42 43 0.5360
43 555 0.2843
43 299 0.3411
43 171 0.7256
43 107 0.7004
43 59 0.3161
43 47 0.6793
44 556 0.6801
44 300 0.7670
44 172 0.5942
44 108 0.5735
44 60 0.7937
44 46 0.3163
44 45 0.7340
45 557 0.6329
45 301 0.7792
45 173 0.6871
45 109 0.6339
45 61 0.7058
45 47 0.8728
46 558 0.1310
46 302 0.0456
46 174 0.2574
46 110 0.0996
46 62 0.1573
46 47 0.4551
47 559 0.4711
47 303 0.7258
47 175 0.9060
47 111 0.5275
47 63 0.8796
48 560 0.2777
48 304 0.5133
48 176 0.5532
48 112 0.7009
48 56 0.6549
48 52 0.6457
48 50 0.5936
48 49 0.6248
49 561 0.4375
49 305 0.4203
49 177 0.4967
49 113 0.4125
49 57 0.7751
49 53 0.6543
49 51 0.7769
50 562 0.5867
50 306 0.8296
50 178 0.8095
50 114 0.4970
50 58 0.7367
50 54 0.3871
50 51 0.7457
51 563 0.7579
51 307 0.7201
51 179 0.4110
51 115 0.5310
51 59 0.4738
51 55 0.6631
52 564 0.4975
52 308 0.7774
